Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
Push,The stack operation corresponding to enqueue in queues is the push operation,push,stack operation corresponding enqueue queues push operation,5.0,4.221170833602322
Keep the top of the stack toward the end of the array so the push and pop operations will add or remove elements from the right side of the array,If you use a dynamically allocated array you must provide a destructor and copy constructor,keep top stack toward end array push pop operations add remove elements right side array,use dynamically allocated array must provide destructor copy constructor,3.0,3.448538452726254
Unlike regular functions constructors are only used to initialize an object s data when it is created Constructors must also be given the same name as the class and cannot return any values,a constructor initializes data members but the functions actually perform tasks Constructors cant return values either,unlike regular functions constructors used initialize object data created constructors must also given name class return values,constructor initializes data members functions actually perform tasks constructors cant return values either,4.0,4.471014667881842
Keep the top of the stack toward the end of the array so the push and pop operations will add or remove elements from the right side of the array,you store the stack in the array but you have to keep in mind the first element,keep top stack toward end array push pop operations add remove elements right side array,store stack array keep mind first element,3.0,4.308160729999654
Unlike in a string declared using type string in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character,array of characters need a termination character as well as size specification whether its explicit or implicit,unlike string declared using type string string declared using array characters programmer must provide null terminating character must ensure array large enough hold string null terminating character,array characters need termination character well size specification whether explicit implicit,5.0,3.8267382610545795
enqueue which adds data to the queue and dequeue which deletes data from the queue,The two main functions are enqueue which inserts an item at the back of the queue and dequeue which removes an item from the front of the queue,enqueue adds data queue dequeue deletes data queue,two main functions enqueue inserts item back queue dequeue removes item front queue,5.0,4.280447804299886
This is on the runtime order of log - LRB - n - RRB - where n is the number of nodes in the binary tree,O - LRB - n - RRB -,runtime order log lrb n rrb n number nodes binary tree,lrb n rrb,3.0,4.067915056153538
Local variables are declared inside the method or function they will be used in at the beginning of the method Global variables are declared outside of any function or method generally before functions are defined,inside the function scope and outside of the function scope in case of global variables,local variables declared inside method function used beginning method global variables declared outside function method generally functions defined,inside function scope outside function scope case global variables,5.0,4.457555957937532
The function signature includes the name of the function and the types of its arguments,It includes a function name and parameter list Does not include return type Function signatures must be different,function signature includes name function types arguments,includes function name parameter list include return type function signatures must different,5.0,4.396225446131071
Run - time error,Generates a compilation error The compiler will complain that the variable you are referring to was never declared,run time error,generates compilation error compiler complain variable referring never declared,1.0,4.068691701539034
A function prototype includes the function signature i e the name of the function the return type and the parameters type The function definition includes the actual body of the function,function prototype describe the class public interface without revealing the class member function implementations function definitions show what implementations are being done,function prototype includes function signature e name function return type parameters type function definition includes actual body function,function prototype describe class public interface without revealing class member function implementations function definitions show implementations done,4.5,4.282340582732878
They are converted to post fix expressions It still follow the order of precedence for the operators,The computer converts the infix expression to postfix form Then evaluates the postfix expression,converted post fix expressions still follow order precedence operators,computer converts infix expression postfix form evaluates postfix expression,5.0,3.8023216437978666
