Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
It makes a copy of the function code in every place where a function call is made,Expands the function into the program,makes copy function code every place function call made,expands function program,4.0,3.064999999999997
Unlike in a string declared using type string in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character,type string is an array of chars that will make an array of single letter characters while an array of strings will be an actual array of words - LRB - or an array of char arrays - RRB -,unlike string declared using type string string declared using array characters programmer must provide null terminating character must ensure array large enough hold string null terminating character,type string array chars make array single letter characters array strings actual array words lrb array char arrays rrb,2.0,4.1
To store a class interface including data members and member function prototypes,Header files separate files in which classes are defined and allow the compiler to recognize classes when used elsewhere,store class interface including data members member function prototypes,header files separate files classes defined allow compiler recognize classes used elsewhere,3.5,3.325000000000004
A variable in memory that hold the address of another memory location to which it points too,a pointer is a reference to a memory location,variable memory hold address another memory location points,pointer reference memory location,5.0,4.057464285714288
N - LRB - the length of the array - RRB - operations achieved for a sorted array,Best case - 1 Worst Case - N,n lrb length array rrb operations achieved sorted array,best case worst case n,2.0,4.840000000000003
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child,A binary search tree is a tree that also has the condition that each node may have at maximum 2 children and where the input data is compared to the data in the tree starting with the root If the value is smaller than the root it traverses left if it is larger it traverses right until it becomes a leaf,binary tree property node left child smaller parent turn smaller right child,binary search tree tree also condition node may maximum children input data compared data tree starting root value smaller root traverses left larger traverses right becomes leaf,4.5,4.064999999999993
A data structure in c plus plus which is a collection of data that is kept in order First in first out,Its like a stack but uses the linked list to stack a little differently It is FIFO so the first thing enqueued is the first thing dequeued,data structure c plus plus collection data kept order first first,like stack uses linked list stack little differently fifo first thing enqueued first thing dequeued,5.0,2.5259166666666673
The elements in an array can be accessed directly - LRB - as opposed to linked lists which require iterative traversal - RRB -,you can go forwards and backwards and point to any piece of data at any given time where linked lists have to point to the next piece of data,elements array accessed directly lrb opposed linked lists require iterative traversal rrb,go forwards backwards point piece data given time linked lists point next piece data,3.0,4.369999999999996
By reference,The linked list object contains the head through which the other elements are accessible,reference,linked list object contains head elements accessible,3.5,3.1350000000000042
In a circular linked list every node has a successor which means that the last node successor is the head or first node,in a circular linked lists the last element points to the first,circular linked list every node successor means last node successor head first node,circular linked lists last element points first,5.0,4.6000000000000005
the type char has a null - LRB - n - RRB - element at the very end,character arrays can call on individual letters were a string array can only call words,type char null lrb n rrb element end,character arrays call individual letters string array call words,2.0,3.680000000000005
A leaf is a child of a parent node that has no children nodes of its own,an endpoint on a tree that contains no pointers or pointers that are set to null,leaf child parent node children nodes,endpoint tree contains pointers pointers set null,4.5,3.0449999999999995
A leaf is a child of a parent node that has no children nodes of its own,The last value in the tree A value with no children attatched,leaf child parent node children nodes,last value tree value children attatched,5.0,3.6749999999999994
a header file is a file used to store a list of prototye functions and data members,class definitions are placed here,header file file used store list prototye functions data members,class definitions placed,3.0,4.080000000000002
It avoids making copies of large data structures when calling functions,Gives called function the ability to access and modify the caller s argument data directly,avoids making copies large data structures calling functions,gives called function ability access modify caller argument data directly,3.5,2.795
A linked list is a data structure that is not necessarily in the same contiguous memory space - LRB - such as arrays - RRB - It holds the data type and points to the next data item in the list or in a doubly linked list also to the previous item,A series of Nodes structures with a value and a pointer that point to a similar Node Not quite an array but still can carry a list of values,linked list data structure necessarily contiguous memory space lrb arrays rrb holds data type points next data item list doubly linked list also previous item,series nodes structures value pointer point similar node quite array still carry list values,4.5,4.869999999999999
a static array will store the new values that were assigned to each of its elements meaning if you call a function twice it will use the last values that were returned the first time if you do not declare it static then the new values will not be stored and will be reset to their original value,A static member prevents naming conflicts - LRB - not put into global namespace - RRB - while allowing for information hiding - LRB - private public - RRB -,static array store new values assigned elements meaning call function twice use last values returned first time declare static new values stored reset original value,static member prevents naming conflicts lrb put global namespace rrb allowing information hiding lrb private public rrb,3.0,2.67
The function signature includes the name of the function and the types of its arguments,A function signature includes the name of the function and types of arguments but not the return type,function signature includes name function types arguments,function signature includes name function types arguments return type,5.0,5.0
you replace the node with the largest element of its left subtree or replace it with the smallest element of the right subtree,pointer to the child and delete it has 2 children set the node to the child and delete it the node to th middle will then take its place,replace node largest element left subtree replace smallest element right subtree,pointer child delete children set node child delete node th middle take place,3.0,2.639999999999996
A data structure for storing items which are to be accessed in last - in first - out order that can be implemented in three ways,Stores a set of elements in a last in first out order,data structure storing items accessed last first order implemented three ways,stores set elements last first order,5.0,4.785000000000001
returns a synonym for the object to which its pointer operand points,It returns a synonym alias or nickname of the name of the object that its operand points to in memory - LRB - dereferencing the pointer - RRB -,returns synonym object pointer operand points,returns synonym alias nickname name object operand points memory lrb dereferencing pointer rrb,5.0,4.429999999999998
Keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,Using a linked list is one way to implement a stack so that it can handle essentially any number of elements It is usually convenient to put a data structure in its own module thus you will want to create files stack h and a stack c,keep top stack pointing head linked list push pop operations add remove elements beginning list,using linked list one way implement stack handle essentially number elements usually convenient put data structure module thus want create files stack h stack c,2.0,2.7950000000000035
Array can retrieve memory from any place in the list while in a link list you have to traverse through each individual node,Array - bases implementations require less memory than a pointer - bases one,array retrieve memory place list link list traverse individual node,array bases implementations require less memory pointer bases one,3.5,4.96
