answer,response,LABEL BENAR,HASIL BERT-ID,HASIL W2V-AVGCOS-RFR,HASIL FASTTEXT-AVGCOS-RFR,HASIL W2V-WMD-LINEAR
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"animasi komputer adalah pembuatan atau pemrosesan sebuah gambar animasi yang dibuat dengan menggunakan komputer, yang diperuntukkan agar pembuatan suatu animasi dapat dikerjakan lebih cepat dan menghasilkan animasi yang real, sering digunakan untuk membuat animasi 3D, 2D, motion graphics",2.5,1.1638269,5,4.515,2.7691598380501
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer",animasi komputer merupakan sebuah bentuk seni grafis yang dibuat dengan komputer dan bergerak dalam satu kurun waktu secara berturut-turut (continuous),4.5,1.36105685,4.266,3.68,2.46812628803541
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,animasi yang dibuat pada saat sekarang dan dibantu dengan berbagai software dari komputer sehingga menghasilkan sebuah karya yang terbilang bisa smooth dan semi realis,2.5,1.06112735,2,0.764999999999999,3.08486820156927
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,sebuah animasi dimana animasi ini sebuah pergerakan pada gambar yang diciptakan sebuah teknologi yang dimana akan menciptakan sebuah gambar animasi yang bergerak layaknya film-film,4,1.79055215,4.865,3.63999999999999,3.30988977114317
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer",proses menciptakan gerakan menggunakan komputer,5,0.5524048,3.635,1.74633333333333,1.53871032717004
sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"bagaimana menceritakan sebuah kisah, menunjukkan emosi, bahkan mengekspresikan detail karakter yang dibantu oleh alat berupa komputer untuk mencapai tujuan tersebut bahkan terdapat penambahan untuk memperindah animasi.",2.5,1.0851501,4.81166666666667,3.12,2.85021961913815
sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,proses pembuatan gambar-gambar yang digabungkan sehingga membuat ilusi seakan akan gambar tersebut seperti bergerak yang dibuat menggunakan komputer,5,2.3120059,4.685,3.39,2.98648256351442
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer",animasi yang dibuat pada komputer dengan menggunakan objek digital dengan tujuan memberikan kehidupan pada objek objek digital tersebut,4,1.464909,4.45,3.15,1.91883661384394
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"animasi berasal dari kata latin anima yang berarti pergerakan. pergerakan suatu gambar atau citra yang merupakan susunan dari berbagai frame sehingga membentuk suatu pergerakan yang realistis dan digital. Sehingga dapat dinikmati oleh berbagai kalangan dengan tujuan berupa bisnis, hiburan, dan sebagainya",5,1.31794185,4.96,3.415,2.83755059345314
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,salah satu cara membuat suatu animasi dengan menggunakan bantuan dari komputer. Hal ini biasanya dilakukan dengan animasi 2D atau 3D dimana manusia akan membuat keypoint dari sebuah gerakan dan komputer akan membantu dengan mengisi gerakan diantaranya. sehingga menghilangkan beban menggambar animasi berulang-ulang,2.5,1.38750525,5,4.33,2.29187486388001
