Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
rasa ingin tahu objektif/jujur berpikir kritis berpikir terbuka sikap penemuan dan kreatif,Bertanggung jawab - Tidak mudah menyerah - Disiplin - Kreatif,rasa  tahu berpikir kritis berpikir terbuka sikap penemuan  kreatif,bertanggung jawab  mudah menyerah disiplin kreatif,1.0,1.4249024156402723
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerakan yang tidak memiliki makna,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerakan   memiliki makna,2.0,1.310178346019607
gerak tangan memutar dan melambai dan diakhiri dengan posisi ngithing.,gerakan tangan dalam tari yang membentuk lingkaran kecil.,gerak tangan memutar  melambai  diakhiri  posisi ngithing,gerakan tangan  tari  membentuk lingkaran kecil,1.5,1.0258662592095646
"Sendi mati yaitu sendi yang tidak mungkin bergerak.
Sendi tulang rawan atau sendi kaku, yaitu sendi yang memungkinkan terjadinya sedikit gerak antartulang yang terhubung.
Sendi gerak yaitu sendi yang bisa digerakkan dengan bebas.","sendi mati adalah sendi yang tidak bisa bergerak
sendi kaku adalah sedikit bergerak anatara tulang yang terhubung
sendi gerak adalah sendi yang sering di gerakan",sendi mati  sendi   mungkin bergerak sendi tulang rawan  sendi kaku  sendi  memungkinkan terjadinya sedikit gerak antartulang  terhubung sendi gerak  sendi   digerakkan  bebas,sendi mati  sendi    bergerak sendi kaku  sedikit bergerak anatara tulang  terhubung sendi gerak  sendi  sering  gerakan,4.0,3.93777097793651
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,Hasil penemuan dari suatu penelitian tertentu.,hasil penemuan  berbagai penyelidikan  penelitian  dikumpulkan  disusun  sistematis menjadi kumpulan pengetahuan,hasil penemuan  suatu penelitian tertentu,1.0,2.0074894226878257
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,"Agar peneliti dapat merangkum seluruh rangkaian penelitian mulai dari fakta, prinsip, konsep, hukum",teori disusun  menjelaskan sesautu    diamati  langsung   bersifat , peneliti  merangkum seluruh rangkaian penelitian mulai  fakta prinsip konsep hukum,0.0,0.42282674869659975
suatu sistem yang terdiri atas sejumlah tulang dan sendi yang membentuk tubuh manusia,susunan sistem yang membentuk tubuh,suatu sistem  terdiri atas sejumlah tulang  sendi  membentuk tubuh manusia,susunan sistem  membentuk tubuh,2.0,1.796427142037419
"Rias realistis, rias karakter, rias fantasi, rias usia, rias jenis.","tata rias wajah korektif, tata rias wajah karakter, dan tata rias wajah fantasi.",rias realistis rias karakter rias fantasi rias usia rias jenis,tata rias wajah korektif tata rias wajah karakter  tata rias wajah fantasi,2.0,3.2792943612429393
gerak yang dilakukan di suatu tempat tanpa berpindah posisi.,gerak yang dilakukan di suatu tempat tanpa berpindah tempat.,gerak  dilakukan  suatu tempat  berpindah posisi,gerak  dilakukan  suatu tempat  berpindah tempat,5.0,4.791364451924858
"Berfungsi mengawali, mengendalikan, dan menghentikan gerak.","Berfungsi mengawali, dan mengandalkan",berfungsi mengawali mengendalikan  menghentikan gerak,berfungsi mengawali  mengandalkan,1.5,3.622577323164343
