Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerakan,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerakan,0.0,1.1500000000000004
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah","Merumuskan masalah
Menggali informasi
Menyusun hipotesis
Melakukan eksperimen
Menganalisis data
Membuat kesimpulan
Menulis laporan ilmiah",merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah menggali informasi menyusun hipotesis melakukan eksperimen menganalisis data membuat kesimpulan menulis laporan ilmiah,4.5,4.074999999999999
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,peraturan dari suatu penelitian,kumpulan prinsip spesifik  kebenarannya  diuji berulang kali  diterima  meluas,peraturan  suatu penelitian,0.0,0.0
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","Alur Maju: Alur cerita yang mencakup awal hingga akhir tanpa flashback.
Alur Mundur: Alur cerita yang dimulai dari akhir sampai ke awal cerita.
Alur Campuran: Campuran alur maju dan alur mundur, cerita diawali dari awal dan dapat terjadi flashback di tengah cerita.",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,alur maju alur cerita  mencakup awal hingga akhir  flashback alur mundur alur cerita  dimulai  akhir   awal cerita alur campuran campuran alur maju  alur mundur cerita diawali  awal   terjadi flashback  tengah cerita,0.5,0.692499999999999
"tulang atau rangka berfungsi sebagai penopang dan pembentuk tubuh, tempat menempelnya otot dan saraf, serta menjadi pelindung organ-organ vital di dalam tubuh.",Fungsi tulang dan rangka adalah untuk melindungi organ dalam manusia.,tulang  rangka berfungsi  penopang  pembentuk tubuh tempat menempelnya otot  saraf  menjadi pelindung vital   tubuh,fungsi tulang  rangka   melindungi organ  manusia,1.5,4.339999999999997
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,"secara analitik, yaitu penggambaran tokoh dengan cara tersurat atau secara langsung dengan cara melalui pengarang itu sendiri, secara tidak langsung, yaitu melalui percakapan antar tokoh, tindakan serta pendapat tokoh", langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita, analitik  penggambaran tokoh  cara tersurat   langsung  cara melalui pengarang  sendiri   langsung  melalui percakapan antar tokoh tindakan  pendapat tokoh,5.0,2.2150000000000007
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.",Unsur pendukung tari adalah segala sesuatu yang digunakan untuk mendukung suatu tarian. Dengan tujuan memperindah tarian tersebut., memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,unsur pendukung tari  segala   digunakan  mendukung suatu tarian  tujuan memperindah tarian tersebut,1.5,1.9549999999999976
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,Untuk mengetahui nilai fungsi dari suatu barang,teori disusun  menjelaskan sesautu    diamati  langsung   bersifat , mengetahui nilai fungsi  suatu barang,0.0,0.3299999999999996
gerak yang dilakukan sambil berpindah tempat,"Gerak yang Di lakukan dengan berpindah pindah posisi, dari posisi satu ke posisi yang lainnya.",gerak  dilakukan  berpindah tempat,gerak   lakukan  berpindah pindah posisi  posisi satu  posisi  lainnya,5.0,2.4749999999999983
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,Gerak tari yang tidak memiliki arti/makna namun fokus pada keindahan,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak tari   memiliki  fokus  keindahan,4.5,2.51
