answer,response,label
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",Ilmu yang mempelajari tentang fenomena alam dan berhubungan dengan matematika.,2.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan,4
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","pelajaran yang mempelajari tentang suatu perhitungan dari suatu benda seperti menentukan atau menghitung volume, kecepatan, maupun gaya dari suatu benda yang dijadikan objek penelitian.",1
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","ilmu yang mempelajari tentang bumi, lingkungannya, serta kehidupannya",2
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mengajarkan tentang fenomena yang ada di dunia,1
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan dan analisis.,4
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","sains itu mempelajari pengetahuan alam yang terbagi menjadi tiga yaitu fisika, biologi, dan kimia",0.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","Seluruh sesuatu yang kita lakukan dapat disebut dengan sains mulai dari bergerak, mendorong, semuanya adalah sains.",0
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",pengetahuan yang berhubungan dengan segala fenomena - fenomena atau kejadian suatu alam.,2
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","Ilmu yang mempelajari berbagai gejala alam, eksperimen, interaksi dengan sesamanya, dan lain.",3
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mempelajari tentang ilmu sains,1
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu pengetahuan yang dipelajari,0
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",suatu cairan yang digabungkan menjadi suatu keajaiban,2
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mempelajari gejala-gejala atau peristiwa alam melalui pengamatan dan eksperimen,4
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis",4.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","Ilmu yang mempelajari tentang alam dan mempelajari tentang zat zat kimia. Mempelajari juga tentang fisika, biologi, dan kimia.",2.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",suatu kejadian alam yang terjadi dan diteliti,1.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mempelajari segala fenomena yang ada dan terjadi di dunia,1.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","ilmu pengetahuan alam yang mempelajari tentang suatu gejala alam melalui pengamatan, eksperimen, dan analisis.",4
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mempelajari tentang pengetahuan alam.,2.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu pengetahuan yang mempelajari tentang hakikat alam dan sekitarnya.,2
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","ilmu yang mempelajari semua gejala alam dengan mengamati, eksperimen, dan penelitian.",4.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mempelajari fenomena alam dan segala tentang alam,2.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis",5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mempelajari dari suatu gejala alam.,2.5
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","ilmu kejadian tentang fenomena alam yang didapat melalui observasi, eksperimen, dan validasi.",3
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",pemikiran para ilmuan. Sains untuk mengungkap sesuatu hal yang baru.,0
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,Hasil penemuan dari berbagai penyelidikan dikumpulkan dan disusun secara sistematis menjadi sebuah kumpulan pengetahuan yang kemudian disebut sebagai produk.,5
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,ciptaan dari seseorang produsen untuk konsumennya,0.5
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,Hasil penemuan dari suatu penelitian.,2
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penemuan dari berbagai penyelidikan / penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan,5
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penelitian yang di peroleh dengan cara sistematis sehingga menjadi kumpulan pengetahuan,4
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil yang didapatkan dari permasalahan ilmiah.,1
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,Hasil penemuan dari suatu penelitian tertentu.,1
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penemuan dari berbagai penyelidikan dan penelitian yang dikumpulkan dengan di susun secara sistematis dan kumpulan pengetahuan.,4
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penemuan dari suatu penelitian yang dilakukan & dipraktekkan,1.5
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,suatu barang atau jasa yang akan dijual belikan kepada konsumen,0
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,suatu proses dari berbagai penyelidikan/penelitian,0
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,suatu penemuan seperti ilmuwan menemukan suatu hal.,1.5
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil yang didapatkan dari permasalahan,1
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil yang didapatkan dari permasalahan,1
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil dari penyelidikan yang kemudian disusun secara sistematis menjadi sebuah kumpulan pengetahuan.,4.5
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,suatu benda yang dipergunakan dan biasanya dapat di perdagangkan,0
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penelitian yang diperoleh dengan cari disusun dengan sistematis sehingga menjadi kumpulan pengetahuan,4
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penemuan dari suatu penelitian.,1.5
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil dari penelitian.,1
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,barang dijadikan sebagai penelitian ilmiah.,0
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil dari penyelidikan atau penelitian yang kemudian dikumpul dan disusun secara sistematis menjadi sebuah kumpulan pengetahuan.,4.5
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penemuan dari berbagai penelitian,2
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penemuan dari berbagai peneliti,1
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,produk hasil suatu ilmu yang dipelajari,1
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,ciptaan dari seseorang produsen dan untuk konsumen.,0.5
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Metode yang digunakan dengan cara teratur dan terkontrol,3.5
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,cara kerja yang tersusun sesuai teori,0
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Yaitu melakukan atau membuat sebuah metode dalam penelitian ilmiah.,0
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,pengetahuan tentang cara memperoleh ilmu secara teliti dan terkontrol,4
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Metodik berarti penelitian ilmiah dilakukan menggunakan metode yang sudah terbukti kebenarannya.,0
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Menyelesaikan suatu penelitian menggunakan metode yang sudah terbukti kebenarannya.,1
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Metodik dalam karakteristik penelitian ilmiah adalah langkah-langkah yang dilancarkan dalam penelitian ilmiah (metode),0.5
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,"objektif
sistematik
berlaku umum",0
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Pengetahuan tentang bagaimana memperoleh secara terkontrol,0
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,suatu hal yang dijadikan penelitian dan langkah.,2.5
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,pola yang menghubungkan pola dan fakta,0
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Pola yang menghubungkan fakta dan konsep,0
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,mencari informasi dengan cara tertentu secara teratur dan terkontrol.,4
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,sebuah metode yang dapat didapati dari sebuah karakter,0.5
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,pengetahuan yang diperoleh secara terkontrol tanpa terpengaruhi variabel terikat,3
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,melakukan atau membuat sebuah metode dalam penelitian ilmiah.,0
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Pengetahuan yang diperoleh dari cara-cara yang teratur dan terkontrol.,4.5
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,Pengetahuan yang dikumpulkan/diperoleh dengan menggunakan cara-cara yang teratur dan terkontrol.,5
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,cara kerja yang tersusun sesuai teori.,0.5
Generalisasi dari hubungan antara fakta dengan konsep.,Ketentuan suatu barang yang dapat menunjukkan nilai fungsi barang tersebut.,0
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi atau yang berhubungan dengan konsep atau fakta,4.5
Generalisasi dari hubungan antara fakta dengan konsep.,Pola umum yang menghubungkan antara konsep dan fakta.,2.5
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi hubungan antara fakta dan konsep,5
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi hubungan antara fakta dan konsep,5
Generalisasi dari hubungan antara fakta dengan konsep.,pola umum yang menghubungkan fakta dengan konsep.,3
Generalisasi dari hubungan antara fakta dengan konsep.,Hubungan antara fakta dan konsep.,4
